ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (April 2018)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,20,3,3,3,3,3,3,3*,3,3,2,2,3,3,4,3,3
,21,3,3,3,3,3,3,3*,3,3,2,2,3,3,4,3,3
,22,3,3,3,2,3,3,3*,3,3,2,2,3,3,3,3,3
,23,3,3,3,2,3,3,3*,3,3,2,2,3,3,3,2,3
,24,2,3,3,2,3,2,3*,3,3,2,2,3,3,3,2,3
,Daily Max,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3
2018-04-16,01,2,3,3,2,2,2,3*,3,3,2,2,3,2,3,2,3
,02,2,3,2,2,2,2,2*,2*,3,2,2,2,2,3,2,2
,03,2,2,2,2,2,2,2*,2*,2,2,2,2,2,3,2,2
,04,2,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,2
,05,2,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,2
,06,2,2,2,2,2,2,2*,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2*,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,2
,09,2,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,2
,10,2,3,2,2,2,2,2*,2,3,2,2,2,3,4,2,3
,11,2,3,3,2,3,2*,2*,3,3,2,2,2,3,4,3,3
,12,3,3,3,2,3,2*,3*,3,3,2*,2,2,3,4,3,3
,13,3,3,3,2,3,3*,3*,3,3,2*,2,2,3,4,3,3
,14,3,3,3,3,3,3*,3*,3,3,2*,2,3,3,4,3,3
,15,3,4,3,3,3,3*,3*,3,3,2,3,3,3,5,3,3
,16,3,4,3,3,3,3*,3*,3,4,2,3,3,3,5,3,3
,17,3,4,3,3,3,3*,3*,3,4,3*,3,3,3,4,3,3
,18,3,4,3,3,3,3*,3*,3,3,3*,3,3,3,4,3,4
,19,3,4,3,3,3,3,3*,3,3,2,3,3,3,4,4,4
,20,3,3,3,3,3,3,3*,3,3,2,3,3,3,4,4,3
,21,3,3,3,3,3,3,3*,3,3,2,3,3,3,4,3,3
,22,3,3,3,3,3,3,3*,3,3,2,3,3,3,4,3,3
,23,3,3,3,3,3,3,3*,3,3,2,3,3,3,4,3,3
,24,3,3,3,3,3,3,3*,3,3,2,2,3,3,3,3,3
,Daily Max,3,4,3,3,3,3,3,3,4,3,3,3,3,5,4,4
2018-04-17,01,3,3,3,3,3,3,3*,3,3,2,2,3,3,3,3,3
,02,3,3,3,3,3,2,3*,3,3,2,2,3,3,3,3,3
,03,3,3,3,3,3,2,3*,3,3,2,2,3,3,3,2,3
,04,3,3,3,2,3,2,3*,3,3,2,2,3,3,3,2,2
,05,2,3,2,2,2,2,3*,3,3,2,2,3,3,2,2,2
,06,2,3,2,2,3,2,3*,3,3,2,2,3,3,2,2,2
,07,2,3,3,2,3,2,3*,3,3,2,2,3,3,3,2,2
,08,2,3,3,3,3,2,3*,3,3,2,2,3,3,3,2,3
,09,3,3,3,3,3,2,3*,3,3,2,2,3,3,3,2,3
,10,3,3,3,3,3,3,3*,3,3,2,2,3,3,4,3,3
,11,3,3,3,3,3,3,3*,3,3,2,2,3,3,4,3,3
,12,3,3*,3,3,3,3,3,3,3,2,2,3*,3,4,3,3
,13,3,3*,3,3,3,3,3,3,3*,3,2,3*,3,4,3,3
,14,3,3*,3,3,3,3,3,3,3*,3,3,3*,3,4,3,3
,15,3,4,3,3,4,3,4,4,3*,3,3,3*,4,4,3,4
,16,3,4,4,3,4,3,4,4,4,3,3,4,4,4,3,4
,17,4,4,4,4,4,4,4,4,5,4,3,4,4,4,3,4
,18,4,4,4,4,4,4,4,4,5,4,3,4,5,4*,3,4
,19,4,4,4,4,4,4,4,4,5,4,3,4,5,4*,4,5
,20,4,5,4,4,4,4,5,4,5,4,3,4,5,5,4,5
,21,4,5,4,4,4,4,5,4,5,3,3,4,5,5,4,5
,22,5,5,5,5,4,4,5,4,4,3,3,5,4,5,4,5
,23,5,5,5,5,4,4,5,4,4,3,3,5,4,5,4,5
,24,5,5,5,5,4,4,5,3,4,3,3,5,5,5,4,5
,Daily Max,5,5,5,5,4,4,5,4,5,4,3,5,5,5,4,5
2018-04-18,01,5,5,5,5,5,4,5,3,4,3,3,4,5,5,4,5
,02,5,5,5,5,5,5,5,3,4,4*,3,5,5,5,4,5
,03,5,5,5,5,5,5,5,3,5,4*,3,5,5,5,4,5
,04,5,5,5,5,5,5,5,3,5,3,3,5,5,5,4,5
,05,5,5,5,5,5,5,5,3,5,3,3,5,5,5,4,5
,06,5,5,5,5,5,5,5,3,4,3,3,5,5,5,4,5
,07,5,5,5,5,5,5,5,3,4,4,3,5,5,5,4,5
,08,5,5,5,5,5,5,5,3,4,4,3,4,5,5,4,5
,09,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5
,10,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5
,11,5,5,5,5,5,5*,5,5,5,4,4,5,5,5,5*,5
,12,5,5,5,5,5,5*,5,5,5,5,4,5,5,6,5*,5
,13,5,6,5,5,5,5*,6*,5,5,5,4,5,6,6,5*,5
,14,6,6,6,5,5,5,6*,5,6,5,4,5,6,6,5*,6
,15,6,6,6,6,6,5,6*,5,6,5,4,6,6,6,5*,6
,16,6,6,6,6,6,6,7*,5,6,5,5,6,7,6,5,6
,17,6,6,6,6,6,6,7,5,6,5,5,6,7,6,5,6
,18,6,6,6,6,6,6*,7,6,6,5,5,6,7,6,5,6
,19,6,6,6,6,6,6*,6,6,6,5,5,6,6,6,5,6
,20,6,6,6,6,6,6,6,6,6,5,5,6,6,6,5,6
,21,5,6,6,6,6,5,6,5,6,4,5,6,6,6,4,6
,22,5,6,6,6,5,5,5,5,6,4,4,5,5,6,4,6
,23,5,6,6,6,5,4,5,5,6,3,4,5,5,6,4,6
,24,5,6,6,6,5,4,5,5,6,3,4,4,5,6,4,6
,Daily Max,6,6,6,6,6,6,7,6,6,5,5,6,7,6,5,6
2018-04-19,01,5,6,6,5,5,4,5,5,6,3,4,4,6,6,4,6
,02,5,6,5,5,5,4,4,4,5,3,4,4,6,6,4,6
,03,5,5,5,5,5,4,4,4,5,3,4,4,5,5,4,5
,04,5,5,5,5,5,4,4,4,5,3,3,3,5,5,4,5
,05,5,5,5,5,5,4,4,4,5,3,3,3,5,5,4,5
,06,5,5,5,5,5,4,4,4,4,3,3,3,5,5,4,5
,07,5,5,5,5,5,4,4,3,4,3,3,3,5,5,4,5
,08,5,5,5,5,5,4,4,4,4,3,3,4,5,5,3,5
,09,4,5,5,4,5,5,4,4,5,4,3,4,5,5,4,5
,10,5,5,5,5,5,5,5,4,5,4,4,5,5,6,4,5
,11,5,5,5,5,5,5,5,5,5,4,4,5,5,6,4,5
,12,5,5,5,5,5,5*,5,5,5,5,4,5,5,6,4,5
,13,5,5*,5,5,6,5*,5,5,5,5,4,5,6,6,4,5
,14,5,5*,5,5,6,6*,6,5,6,5,4,6,6,6,4,6
,15,6,6*,5,5,6,6,6,6,6,6,4,6,6,6,4,6
,16,6,6*,6*,5,6,6,6,6,6,6,4,6,6,6,4,6
,17,6,6*,6*,6,6,6,6,6,6,6,5,6,6,6,5,6
,18,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6
,19,6,6,6,6,6*,6,6,6,6,6,5,6,6,6,5,6
,20,6,6,6,6,6*,6,6,6,6,5,5,6,6,6,4,6
,21,6,6,6,6,6*,6,6,5,6,5,5,6,6,6,4,6
,22,6,6,6,6,6,6,6,5,6,4,4,6,6,6,4,6
,23,5,6,6,5,6,6,6,5,6,4,4,6,6,6,4,6
,24,5,6,5,5,6,6,6,5,5,4,4,6,6,6,4,6
,Daily Max,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6
2018-04-20,01,5,6,5,5,5,6,5,5,5,4,4,6,6,6,4,6
,02,5,6,5,5,5,5,5,5,5,4,4,5,6,5,4,5
,03,5,6,5,5,5,5,5,5,5,4,4,5,5,5,4,5
,04,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,5
,05,5,5,5,5,5,5,5,4,5,4,4,5,5,5,3,5
,06,5,5,4,4,5,5,5,4,5,4,4,5,5,4*,3,4
,07,4,5,4,4,5,5,5,4,4,4,4,5,5,4*,3,4
,08,4,5,4,4,5,4,5,4,4,4,4,5,5,4*,3,4
,09,4,5,5,4,5,4,5,4,4,4,4,5,5,5*,4,5
,10,5,5,5,4,5,5,5,4,4,4,4,5,5,5*,4,5
,11,5,5,5,4,5,5,5,4,5,4,4,5,5,5*,4,5
,12,5,5,5,5,5,5,5,4,5,4,4,5,5,5*,4,5
,13,5,5,5,5,5,5,5,4,5,4,4,5*,5,5,5,5
,14,5,5,5,5,5,5,5,4,5,4,4,5*,5,5,4,5
,15,5,5,5,5,5,5,5,4,5,4,4,5*,5,5,4,5
,16,5*,5,5,5,5,5,5,4,5,4,4,5*,5,5,4,5
,17,5*,5,5,5,5,5,5,4,5,4,4,5,5,5,4,5
,18,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,5
,19,5,5,5,5,5,4,5,4,5,4,4,5,5,5,4,5
,20,5,5,5,5,5,4,5,4,4,4,4,5,5,5,4,5
,21,5,5,5,5,5,4,5,4,4,3*,4,5,5,5,4,5
,22,5,5,5,4,5,4,5,4,4,3*,4,5,5,5,4,5
,23,4,5,5,4,4,4,5,4,4,3*,4,5,5,5,4,5
,24,4,5,4,4,4,4,4,4,4,3*,4,4,4,5,3,5
,Daily Max,5,6,5,5,5,6,5,5,5,4,4,6,6,6,5,6
2018-04-21,01,4,5,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,02,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,03,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,04,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,05,4,4,4,4,4,4,4,3,4,3*,3,4,4,4,3,4
,06,4,4,4,4,4,4,4,3,4,3*,3,4,4,4,3,4
,07,4,4,4,4,4,4,4,3,4,3*,3,4,4,4,3,4
,08,4,4,4,3,4,4,4,3,4,3*,3,4,4,4,3,4
,09,4,4,4,3,4,3,4,3,4,3*,3,4,4,4,3,4
,10,4,4,4,4,4,4,4,3,4,3*,3,4,4,4,3,4
,11,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,12,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,13,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,14,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,15,4,4,4,4,4,4,4,4,4,3*,3,4,4,4,3,4
,16,4,4,4,4,4,4,4,3,4,3*,3,4,4,4,3,4
,17,4,4,4,4,4,4,4,3,4,3*,3,4,4,4,3,5
,18,4,4,4,4,4,4,4,3,4,3*,3,4,4,4,3,4
,19,3,4,4,4,4,3,4,3,4,2*,3,4,4,4,3,4
,20,4,4,4,4,4,3,4,3,4,3,3,4,4,4,3,4
,21,4,4,4,3,4,3,4,3,4,3,3,4,4,4,3,4
,22,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,4
,23,3,4,4,4,4,3,4,3,3,3,3,3,4,4,3,4
,24,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,4
,Daily Max,4,5,4,4,4,4,4,4,4,3,3,4,4,4,3,5
2018-04-22,01,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,4
,02,4,4,4,3,4,3,4,3,3,3,3,4,4,4,3,4
,03,4,4,4,3,4,3,4,3,3,3,3,4,4,4,3,4
,04,4,4,4,3,4,3,4,3,3,3,3,4,4,4,3,3
,05,3,4,4,3,4,3,4,3,3,3,3,4,4,3,3,3
,06,3,4,4,3,3,3,4,3,3,3,3,4,4,3,3,3
,07,3,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3
,08,3,4,4,3,3,3,4,3,3,3,3,3,4,3,2,3
,09,3,4,3,3,3,3,4,3,3,3,3,3,4,4,2,3
,10,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3
,11,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,4
,12,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,4
,13,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,4
,14,3,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4
,15,3,4,4,3,3,3,4,3,3,2,3,3,5,4,3,4
,16,3,4,3,3,3,3,4,3,3,2,3,3,5,4,3,4
,17,3,4,3,3,3,3,4,3,3,2,3,3,5,4,3,4
,18,3,4,3,3,3,3,5,3,3,2,3,3,5,4,3,4
,19,3,4,3,3,3,3,5,3,3,2,3,3,5,4,3,4
,20,3,4,3,3,3,3,4,3,3,2,3,3,5,4,3,4
,21,3,4,3,3,3,3,4,3,3,2,3,3,4,4,3,4
,22,3,4,3,3,3,3,4,2,3,2,3,3,4,4,3,3
,23,3,4,3,3,3,3,4,2,3,2,3,3,4,4,2,3
,24,3,4,3,3,3,2,3,2,3,2,3,3,4,3,2,3
,Daily Max,4,4,4,4,4,3,5,3,3,3,3,4,5,4,3,4
2018-04-23,01,2,3,3,2,3,2,3,2,3,2,2,3,4,3,2,3
,02,2,3,3,2,3,2,3,2,3,2,2,2,3,3,2,3
,03,2,3,3,2,3,2,3,2,3,2,2,2,3,3,2,3
,04,2,3,2,2,3,2,2,2,2,2,2,2,3,3,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
,08,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,10,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2
,11,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3
,12,2,3,3,2,3,2,2,2,2,2,2,3,3,4,2,3
,13,2,3,3,2,3,2,3,2,3,2,2,3,3,4,2,3
,14,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,3*
,15,2,2,3,3,3,2,3,3,3,2,2,3,3,3*,2,3*
,16,2*,2,3,3,3*,3,3,3,3,2,2,3,3,3*,2,2*
,17,2*,2,3,3,3*,2,3,2,3,2,2,3,2,3*,2,2*
,18,2*,2,3,3,3,3,3,2,2,2,2,3,2,3,2,3
,19,2*,2,3,2,3,3,3,2,2,2,2,3,2,3,2,3
,20,2*,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3
,21,2*,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3
,22,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,3
,23,3,2,3,2,2,2,2,2,2,2,2,2,2,4,2,3
,24,3,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2
,Daily Max,3,3,3,3,3,3,3,3,3,2,2,3,4,4,2,3
2018-04-24,01,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,05,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
,07,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2
,09,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2
,10,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,3
,11,3,3,2,2,3,2,2,3,2*,2,2,2,2,3,3,3
,12,3,3,2,3,3,3,2,3,3*,3,2,2,2,4,3,3
,13,3,3,2,3,3,3,2,3,4*,3,2,2,2,4,3,4
,14,3,3,2,3,4,3,2,3,4*,3,2,3,2,5,3,4
,15,3,3,3,3,4,4,2,3,4*,3,3,3,2,5,3,4
,16,3,3,3,3,4,4,2,3,4*,3,3,4,3,4,3,4
,17,3,3,3,3,4,4,3,4,4*,3,3,4,3,4,3,4
,18,3,3,3,3,4,4,3,4,4*,3,3,4,3,4,3,4
,19,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,4
,20,3,3,3,3,4,3,3,3,4,3,3,3,3,5,3,4
,21,3,3,3,3,3,3,3,3,4,3,3,3,3,5,3,4
,22,3,3,3,3,3,3,3,3,4,2,3,3,3,5,3,4
,23,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3
,24,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3
,Daily Max,3,3,3,3,4,4,3,4,4,3,3,4,3,5,3,4
2018-04-25,01,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3
,02,3,3,3,3,3,2,3,3,3,2,2,3,*,3,2,3
,03,3,3,3,3,3,2,3,3,3,2,2,3,*,3,2,3
,04,3,3,3,3,3,2,3,3,3,1,2,3,3,3,2,3
,05,3,3,3,3,3,2,3,3,3,1,2,3,3,3,2,3
,06,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3
,07,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
,08,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
,09,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
,10,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
,11,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3
,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3*,3,3
,13,3,3*,3,3,3,3,3,3,3,3,3,3,*,4*,3,4
,14,3,4*,4,3,4,3,4,3,3,3,3,3,*,4,3,4
,15,4,4*,4,4,4,4,4,3,3,3,3,4,*,4,3,4
,16,4,4*,4,4,4,4,4,4,4,3,3,4,*,4,3,4
,17,4,4,4,4,4,4,4,4,4,4,3*,4,4,4,3,5
,18,4,5,4,4,4,4,4,4,4,4,4*,4,4,4,3,5
,19,4,5,5,4,5,4,5,4,4,4,4*,5,4,5,3,5
,20,4,5,5,5,5,4,5,4,4,4,4,5,4,5,4,5
,21,4,5,5,5,5,5,5,4,4,4,4,5,5,5,3,5
,22,5,5,5,5,5,5,5,4,4,4,4,5,5,5,3,5
,23,5,5,5,5,5,5,5,4,4,4,4,5,5,5,3,5
,24,5,5,5,5,5,5,5,4,4,3,4,5,5,5,3,5
,Daily Max,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5
2018-04-26,01,5,5,5,5,5,5,5,4,4,3,4,5,5,5,3,5
,02,5,5,5,4,5,5*,5,3,4,3,4,5,5,5,3,5
,03,5,5,5,4,4,5*,5,3,4,4,4,5,5,5,3,5
,04,5,5,5,5,4,5,5,3,4,4,4,5,5,5,3,5
,05,5,5,5,5,4,5,5,3,4,4,4,5,5,5,3,5
,06,5,5,5,4,4,5,5,4,4,4,4,5,5,5,3,5
,07,5,5,5,4,4,5,5,4,4,4,4,5,5,5,3,5
,08,5,5,5,4,5,5,5,4,4,3*,4,5,5,5,3,5
,09,5,5,5,4,5,5,5,4,4,3*,4,5,5,5,4,5
,10,5,5,5,5,5,5,5,4,5,4*,4,5,5,5,4,5
,11,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,5
,12,5,5,5,5,5,5,5,5,5,4,4,5,5,5*,4,5
,13,5,5,5,5,5,5,5,5,5,4*,4,5,5,5*,4,5
,14,5,6,5,5,5,5,5,5,5,4*,4,5,5,5*,4,5
,15,5,5,5,5,5,5,5,5,5,4*,4,5,5,5*,4,5
,16,5,5,5,5,5,5,5,5,5,4*,4,5,5,5*,4,5
,17,5,6,5,5,5,5,6,5,5,5,4,5,6,5*,4,5
,18,5,6,5,5,5,5,6,4,5,5,4,5,5,5*,4,5
,19,5,6,5,5,5,5,5,4,5,5,4,5,5,5*,4,5
,20,5,6,5,5,5,5,5,4,4,5,4,5,5,5*,4,5
,21,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5
,22,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5
,23,5,5,5,5,4,4,5,4,4,4,4,5,4,5,4,5
,24,5,5,5,5,4,4,5,4,4,3,4,5,4,5,4,5
,Daily Max,5,6,5,5,5,5,6,5,5,5,4,5,6,5,4,5
2018-04-27,01,5,5,5,5,4,4,5,4,4,3,4,5,3,5,4,5
,02,5,5,5,5,4,4,5,3,4,3,3,5,3,5,3,5
,03,5,5,5,5,4,4,5,4,4,3,3,5,3,5,3,5
,04,5,5,5,4,4,4,5,3,4,3,3,4,3,5,3,5
,05,5,5,5,4,4,4,5,3,3,3,3,4,3,5,3,4
,06,5,5,5,4,4,4,5,3,3,3,3,4,3,5,3,4
,07,5,5,5,4,4,4,5,3,3,3,3,4,3,5,3,5
,08,5,5,5,4,4,4,5,4,4,3,3,4,3,5,3,5
,09,5,5,5,4,4,4,4,4,4,3,3,4,3,5,4,5
,10,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,5
,11,5,5,4,4,4,4,5,4*,4,4,4,5,4,5,4,5
,12,5,5,5,4,5,4,5,4*,4,4,4,5,5,5,4,5
,13,5,5,5,5,5,4,5,5,4,5,4,5,5,5,4,5
,14,5,5,5,5,5,5,5,5*,5,5,4,5,5,5,4,5
,15,5,5,5,5,5,5,5,5,5,6,4,5,5,5,4,5
,16,5,5,5,5,5,5,5,4,5,7,4,5,5,5,4,5
,17,5,5,5,5,6,6,5,4,5,8,4,5,6,5,4,5
,18,5,5,5,5,6,6,5,5,6,8,4,5,6,5,4,5
,19,5,6,5,5,6,6,6,5,7,8,4,5,6,5,4,6
,20,5,6,5,5,6,6,6,5,8,8,4,5,6,5,4,6
,21,5,6,5,5,5,5,6,5,8,6,4,5,6,5,4,6
,22,5,6,5,5,5,5,6,5,7,5,4,5,5,5,4,6
,23,5,5,5,5,4,5,5,4,5,5,4,5,5,5,4,5
,24,4,5,5,5,4,4,5,4,5,4,4,5,5,5,3,5
,Daily Max,5,6,5,5,6,6,6,5,8,8,4,5,6,5,4,6
2018-04-28,01,4,5,5,4,4,4,5,4,4,4,4,5,5,5,3,5
,02,4,5,5,4,4,4,5,4,4,4,4,4,5,5,3,5
,03,5,5,5,4,4,4,5,4,4,4,4,4,5,5,3,5
,04,4,5,5,4,4,4,5,4,4,4,4,4,4,5,3,4
,05,4,5,5,4,4,4,4,4,4,4,4,5,5,4,3,4
,06,4,5,5,4,4,4,5,4,4,4,4,5,5,5,3,4
,07,5,5,5,5,5,5,5,4,4,4,4,5,6,5,3,5
,08,5,6,5,5,5,5,5,5,4,5,4,5,6,5,4,5
,09,5,6,5,5,5,5,5,5,5,5,5,6,6,5,4,5
,10,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,11,5,5,5,5,5,5,5,5,5,5,4,5,5,6,4,5
,12,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,13,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,14,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,15,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,16,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,17,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,18,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,19,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
,20,4,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5
,21,4,5,5,4,5,4,5,4,5,5,4,5,6,5,3,5
,22,4,5,5,4,4,4,5,4,4,4,4,5,6,5,3,5
,23,4,5,5,4,4,4,5,4,4,4,4,5,6,5,3,5
,24,4,5,5,4,4,4,5,4,4,4,4,4,5,5,3,5
,Daily Max,5,6,5,5,5,5,5,5,5,5,5,6,6,6,4,5
2018-04-29,01,4,5,5,4,4,4,5,4,4,4,4,4,5,5,3,5
,02,4,5,5,4,4,4,5,4,4,4,4,4,5,5,3,4
,03,4,5,5,4,4,4,5,4,4,4,4,4,5,5,3,4
,04,4,5,5,4,4,4,5,4,4,4,4,4,5,5,3,4
,05,4,5,5,4,4,4,5,4,4,4,4,5,5,5,3,4
,06,4,5,5,4,4,4,5,4,4,4,4,5,5,4,3,4
,07,4,5,5,4,4,4,5,3,4,4,4,5,5,5,3,4
,08,4,5,5,4,4,4,5,3,4,4,4,5,5,5,3,5
,09,4,5,5,4,4,4,5,4,4,4,4,5,5,5,3,5
,10,5,5,5,4,4,4,5,4,4,4,4,5,5,5,3,5
,11,5,5,5,4,5,4,5,4,5,5,4,5,5,5,4,5
,12,5,5,5,5,5,4,5,4,5,5,4,5,5,5,4,5
,13,5,5,5,4,5,4,5,4,5,5,4,4,5,5,3,5
,14,4,5,5,4,5,4,5,4,5,4,4,4,5,5,3,5
,15,4,5,4,4,4,4,5,5,5,4,3,4,5,4,3,5
,16,4,5,4,4,4,4,4,4,4,4,3,4,5,4,3,4
,17,4,5,4,4,4,4,4,4,4,4,3,4,5,4,3,4
,18,4,5,4,4,4,4,4,4,4,4,3,4,5,4,3,4
,19,4,5,4,4,4,4,4,4,4,4,3,4,5,4,3,4
,20,4,5,4,4,4,3,4,4,4,3,3,4,4,4,3,4
,21,4,5,4,4,4,3,4,3,4,3,3,4,4,4,3,4
,22,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,4
,23,3,4,4,3,3,3,4,3,4,3,3,3,4,4,3,4
,24,3,4,4,3,3,3,4,3,3,3,3,4,4,4,3,4
,Daily Max,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5
2018-04-30,01,3,4,4,4,3,3,4,3,3,3,3,4,4,4,3,4
,02,3,4,4,3,3,3,4,3*,3,3,3,4,4,4,3,4
,03,3,4,3,3,3,3,4,3*,3,3,3,3,4,3,3,3
,04,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3
,05,3,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3
,06,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3
,07,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3
,08,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,11,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,12,4,4,3,3*,4,4,3,3,3,3,3,3,3,4,3,4
,13,4,4,4,3*,4,4,3,3,4,3,3,3,*,4,3,4
,14,4,4,4,4*,4,4,4,3,4,3,3,3,*,4,3,4
,15,3,4,4,3,4,3,3,3,3,3,3,3,*,4,3,4
,16,3,4,3,3,4,3,3,3,3,3,3,3,*,4,3,4
,17,3,4,3,3,4,3,3,3,3,3,3,3,3*,4,2,4
,18,2,4,3,3,3,3,3,3,3,3,3,3,4,4,2,4
,19,2,4,3,3,3*,3,4,3,3,2,3,3,4,4,2,4
,20,2,4,3,3,3*,3,4,3,3,2,3,3,4,4,2,4
,21,3,4,3,3,3*,3,4,3,3,2,3,3,4,4,2,4
,22,3,4,3,3,3,3,3,3,3,2,3,3,4,4,2,4
,23,2,3,3,3,3,3,3,3,3,2,3,3,4,4,2,3
