ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (December 2017)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,19,4,4,4,4,5,6,4,6,6,6,4,4,4,4,5,5*
,20,4,4,4,4,5,6,4,6,6,6,4,4,4,4,5,5
,21,4,4,4,4,5,6,4,5,5,5,4,4,4,5,5,4
,22,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4
,23,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4
,24,4,4,3,4,4,4,4,3,3,3,3,4,3,5,4,4
,Daily Max,4,4,4,4,5,6,4,6,6,6,5,4,4,5,5,5
2017-12-16,01,3,4,3,3,3,3,3,3,3,3,3,3,2,4,4,4
,02,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3
,03,3,3,3,3,3,3,2,2,3,3,3,3,2,4,3,3
,04,3,3,3,2,2,3,2,2,2,2,2,3,2,3*,3,3
,05,3,3,3,2,2,2,2,2,2,2,2,2,2,3*,3,3
,06,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,07,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2
,08,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,12,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,13,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3
,14,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3
,15,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,16,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,17,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,18,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3
,19,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3
,20,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3
,21,2,3,3,2,3,3,3,3,3,2,3,3,2,4,3,3
,22,2,3,3,2,2,3,2,3,3,2,2,2,2,4,3,3
,23,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,Daily Max,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4
2017-12-17,01,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,11,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2
,12,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2
,13,2,3,2,2,2,3,2,3,3,2,3,3,3,3,3,3
,14,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3
,15,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,16,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,17,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4
,18,3,3,3,3,3,3,3,3,4,3,3,3,3,5,4,4
,19,3,3,3,3,3,3,3,3,4,3,3,3,3,5,4,3
,20,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3
,21,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3
,22,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3
,23,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3
,24,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3
,Daily Max,3,3,3,3,3,3,3,4,4,3,3,3,3,5,4,4
2017-12-18,01,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3
,02,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3
,03,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3
,04,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3
,05,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3
,06,3,3,3,3,3,3,3,4,4,3,4,3,4,3,3,3
,07,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3
,08,3,3,4,3,3,3,3,3*,4,3,4,4,4,4,4,4
,09,3,4,4,3,4,4,4,3*,4,3,4,4,4,4,4,4
,10,3,4,4,3,4,4*,4,4*,4,4,4,4,4,4,4,4
,11,4,4,4,3,4,4*,4,4,4*,4,4,4,4,5,4,4
,12,4,4,4,4,4,4*,4,4,4*,4,5,4,4,5,5,4
,13,4,4,5,4,4,4*,4,5,5*,5,5,5,4,5,5,4
,14,5,5,5,4,5,5*,5,5,6,5,5,5,5,6,5,5
,15,5,5,5,5,5,5*,5,6,6,6,6,5,5,6,5,5
,16,6,5,5,5,6,6*,5,6,6,6,6,6,5,6,6,6
,17,6,5,6,6*,6,6*,5,6,6,6,6,6,5,6,6,6
,18,6,6,6,6*,6,6*,5,5,6,6,6,6,5,7,7,6
,19,6,6,6,5*,5,6,5,5,6,6,6,6,5,7,7,6
,20,5,6,6,5*,5,5,5,5,6,5,5,5,5,7,7,6
,21,5,5,5,4,5,5,5,4,5,5,5,5,4,7,6,5
,22,5,5,5,4,4,5,5,4,5,4,4,5,4,6,6,5
,23,4,5,5,4,4,4,4,4,5,4,4,4,4,6,5,4
,24,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
,Daily Max,6,6,6,6,6,6,5,6,6,6,6,6,5,7,7,6
2017-12-19,01,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,03,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,04,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
,05,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
,06,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
,07,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
,08,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4
,09,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4
,10,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4
,11,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
,12,4,4,4,4,4,4*,4,4,5,4,4,4,4,5,5,4
,13,4,4,5,4,4,4*,4,5,5,4,5,4,5,5,5,5
,14,4,5,5,4,5,5*,5,5,6,5,5,5,5,5,5,5
,15,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5
,16,5,6,5,5,5,5,5,5,6,5,5,5,5,6,5,5
,17,5,6,5,5,5,5,5,5,6,5,5,5,5,6,6,5
,18,5,5,5,5,5,5,5,5,6,5,5,5,5,6,6,5
,19,5,5,5,4,5,5,5,5,5,5,5,5*,5,6,6,5
,20,5,5,5,4,5,5,5,5,5,5,5,5*,5,6,6,5
,21,4,5,5,4,5,5,5,4,5,4,5,5*,5,6,6,5
,22,4,5,5,4,4,5,5,4,5,4,5,5*,5,6,5,5
,23,4,4,4,4,4,4,4,4,5,4,4,5*,5,6,5,4
,24,4,4,4,4,4,4,4,4,5,4,4,5*,4,6,4,4
,Daily Max,5,6,5,5,5,5,5,5,6,5,5,5,5,6,6,5
2017-12-20,01,4,4,4,4,4,4,4,4,5,4,4,4*,4,5,4,4
,02,4,4,4,4,4,4,4,4,5,4,4,4*,4,4,4,4
,03,4,4,4,4,4,4,4,4,5,4,4,4*,4,4,4,4
,04,4,4,4,4,4,4,4,4,4,4,4,4*,4,4,4,4
,05,4,4,4,3,4,4,4,4,4,4,4,4*,*,4,4,4
,06,4,4,4,3,4,4,4,4,4,4,4,4*,4,4,4,4
,07,4,4,4,3,4,4,4,4,4,4,4,4*,4,4,4,4
,08,4,4,4,3,4,4,4,4,4,4,4,4*,4,4,4,4
,09,4,4,4,3,4,4,4,4,4,3,4,4*,4,4,4,4
,10,4,4,4,3,4,4,4,4,4,3,4,4*,4,5,4,4
,11,4,4,4,4,4,4,4,4,4,3,4,4*,4,5,5,4
,12,4,4,4,4,4,4,4,4,4,4,4,4*,4,5,5,4
,13,4,4,4*,4,4,4,4,4,5,4,4,4*,4,5,5,4
,14,4,4,5*,4,5,5,5,5,5,4,5,5*,*,5,5,4
,15,4,5,5*,4,5,5,5*,5,5,5,5,5*,*,5,5,5
,16,5,5,5*,4,5,5,5*,5,6,5,5,5,5,6,5,5
,17,5,5,5,4,5,5,5*,5,6,5,5,5,5,6,6,5
,18,5,5,5,4,5,5,5*,5,6,5,5,5,5,6,6,5*
,19,5,5,5,4,5,5,5,5,5,5,5,5,5,6,6,5*
,20,4,5,5,4,5,5,5,4,5,5,5,5,5,6,6,5*
,21,4,5,5,4,5,4,4,4,5,4,4,4,5,6,6,5
,22,4,5,5,4,4,4,4,4,5,4,4,4,4,6,5,4
,23,4,4,5,4,4,4,4,4,5,4,4,4,4,6,5,4
,24,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4
,Daily Max,5,5,5,4,5,5,5,5,6,5,5,5,5,6,6,5
2017-12-21,01,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,03,4,4,4,3,3,4,4,4,4,4,3,3*,4,4,4,4
,04,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4
,05,4,4,4,3,3,4*,4,4,4,3,3,4,4,3,4,4
,06,4,4,4,3,3,4*,4,4,4,3,3,4,4,3,4,4
,07,3,4,4,3,3,4,4,3,4,3,3,4,4,3,4,4
,08,3,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4
,09,3,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4
,10,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4
,11,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,12,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,13,4,4,4,4*,4,4,4,4,4,4,4,4,4,5,4,4
,14,4,5,4*,4*,4,4,4,4,4,4,4,4,4,5,4,4
,15,4,5,5*,4*,4,4,5,4,4,4,4,4,5,5,5,5
,16,5,5,5,5*,5,5,5,4,5,4,5,5,5,5,5,5
,17,5,6,6,5*,5,5,5,4,5,5,5,5,6,5,5,6
,18,5,6,6,5*,5,5,5,5,5,5,5,5,6,6,6,6
,19,5,6,6,5,5,5,6,5,5,5,5,5,6,6,6,6
,20,5,6,6,5,5,5,6,5,5,5,5,5,6,6,6,6
,21,5,6,6,5,5,5,6,5,5,5,5,5,6,6,6,6
,22,5,6,6,5,5,5,6,5,5,5,5,5,6,6,6,6
,23,5,6,6,5,5,5,6,5,5,5,5,5,6,6,6,6
,24,5,6,5,5,5,5,6,5,5,5,5,5,6,6,5,5
,Daily Max,5,6,6,5,5,5,6,5,5,5,5,5,6,6,6,6
2017-12-22,01,5,6,5,5,5,5,5,5,5,5,5,5,6,6,5,5
,02,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
,03,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
,04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,05,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
,06,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5
,07,4,5,5,4,4,5,4,5,5,4,4,4,5,4,4,4
,08,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,4
,09,4,4,5,4,4,4,4,4,5,4,4,4,5,5,5,5
,10,4,5,5,4,5,4,4,4,5,4,4,4,5,5,5,5
,11,4,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5
,12,5,5,5,5,5,5,5,5,6,4,5,5,6,6,5,5
,13,5,6,6,5,5,5,6,5,6,5,6,6,6,6,5,6
,14,5,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6
,15,6,6,6,6,6,6,6,6,6,6,6,6*,7,6,6,6
,16,5,5,6,6,6,6,5,6,6,7,7,6*,7,6,5,6
,17,5,5,6,5,6,6,5,6,6,7,7,6*,6,6,5,6
,18,5,5,5,5,6,6,6,6,6,7,6,6*,6,6,5,6
,19,4,5,5,5,5,6,6,6,6,6,6,4,6,5,5,5
,20,5,5,5,5,5,5,5,6,6,5,5,5,5,6,5,6
,21,5,5,5,5,5,5,5,6,6,4,5,5,5,6,5,6
,22,5,6,5,5,5,5,5,5,6,4,5,5,5,6,5,6
,23,5,6,5,5,5,5,5,5,5,4,5,5,5,6,6,6
,24,5,5,5,5,5,5,5,4,5,3,5,5,5,6,5,5
,Daily Max,6,6,6,6,6,6,6,6,6,7,7,6,7,6,6,6
2017-12-23,01,5,5,5,5,5,4,5,4,5,3,5,5,5,5,5,5
,02,5,5,5,4,5,5,5,4,5,3,5,5,4,5,5,5
,03,5,5,5,4,5,5,5,4,5,4,5,5,4,5,5,5
,04,5,5,5,4,5,5,5,4,4,4,5,5,4,4,5,5
,05,4,5,5,4,4,4,5,4,4,3,5,5,4,4,5,4
,06,4,5,5,4,4,4,5,4,4,3,4,5,4,4,5,4
,07,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4
,08,4,4,5,4,4,4,4,4,4,3,4,4,3,4,4,4
,09,4,4,4,4,4,4,4,4,4,3,5,4,3,5,4,4
,10,4,4,4,4,4,4,4,4,4,4,5,4,3,5,4,5
,11,4,4,4,4,4,4,4,4,5,4,5,4,4,5,5,5
,12,4,4,4,4,4,4,4,4,5,4,5,4,5,6,5,5
,13,4,4,4,4,4,4,4,4,5,4,5,4,5,6,5,5
,14,4,4,4,4,4,4,4,4,5,4,5,4,5,5,4,5
,15,4,4,4,4,4,5,4,4,5,5,4,4,5,5,4,5
,16,4,4,4,4,5,5,4,4,5,6,4,4,5,5,4,5
,17,4,4,4,4,5,6,4,5,5,6,4,4,5,5,5,5
,18,5,4,4,5,6,7,4,6,6,6,4,4,5,7,5,5
,19,5,4,4,5,7,8,4,7,7,6,4,4,5,8,6,6
,20,6,4,5,6,7,8,4,7,7,6,4,4,5,9,8,8
,21,7,5,5,7,7,8,4,7,7,5,4,4,4,10,8,8
,22,7,5,5,7,6,8,4,7,7,5,4,4,3,9,9,8
,23,7,5,6,7,5,6,4,6,8,5,4,4,3,9,9,8
,24,6,5,6,7,5,5,4,6,8,5,4,4,3,8,9,8
,Daily Max,7,5,6,7,7,8,5,7,8,6,5,5,5,10,9,8
2017-12-24,01,6,5,6,7,4,4,3,6,8,5,4,4,3,8,8,8
,02,6,5,6,7,4,4,3,6,8,6,4,4,3,7,7,7
,03,6,5,6,6,5,5,3,6,8,7,4,4,3,7,7,7
,04,6,5,6,6,5,6,3,6,8,8,5,4,3,7,7,7
,05,7,6,6,5,4,6,3,6,8,8,5,4,3,7,7,6
,06,7,6,6,5,4,7,4,5,7,7,5,4,4,6,6,6
,07,7,6,6,5,4,6,4,5,6,7,5,4,4,6,5,7
,08,6,6,6,6,4,6,4,5,6,6,5,4,4,7,5,7
,09,6,6,6,6,4,6,4,5,6,6,5,4,5,7,5,7
,10,6,5,6,6,4,6,5,5,5,6,5,5,5,8,6,7
,11,6,5,6,5,5,6,5,5,6,6,5,5,5,7,6,6
,12,6,5,6,5,5,5,5,5,6,6,6,5,5,6,6,6
,13,6,5,6,5,6,6,6,6,7,7,6,6,5,6,6,6
,14,6,6,6,5,6,6,6,7,8,7,6,6,6,6,7,6
,15,6,6,6,6,6,6,6,7,8,7,6,6,6,7,7,6
,16,6,6,6,6,6,7,6,6,7,7,7,6,6,7,7,6
,17,6,6,7,6,7,7,6,6,6,7,7,6,6,8,7,6
,18,6,6,7,6,7,7,6,5,6,6,7,6,5,8,7,6
,19,6,6,6,6,6,6,6,5,5,6,6,6,5,7,7,6
,20,6,6,6,5,5,6,5,5,5,5,5,6,5,7,7,6
,21,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5
,22,5,5,5,4,5,5,5,5,5,5,5,5,5,6,5,5
,23,5,5,5,4,5,5,5,5,5,4,5,5,5,6,5,5
,24,5,5,5,5,5,5,5,5,5,4,4,5,5,6,5,5
,Daily Max,7,6,7,7,7,7,6,7,8,8,7,6,6,8,8,8
2017-12-25,01,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5
,02,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,03,5,5,5,5,5,5,5,5,6,4,5,5,5,5,5,5
,04,5,5,5,5,5,5,5,5,6,4,5,5,5,5,5,5
,05,5,5,5,5,5,5,5,5*,6,4,5,5,5,5,5,5
,06,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,07,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,08,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,09,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,10,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5
,11,5,5,6,5*,5,5,5,5,6,4,5,5,5,6,5,5
,12,5,6,6,5*,5,5,5,5*,6,5,6,6,6,6,5,5
,13,5,6,6,5,5,5,6,5*,6,5,6,6,6,6,6,6
,14,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6,6
,15,6,6,6,6,6,6,6,7,7,6,6,6,7,6,6,6
,16,6,6,7,6,6,6,6,7,7,7,7,6,7,6,6,7
,17,6,7,7,6,6,6,6,7,7,7,7,7,7,7,6,7
,18,6,7,7,6,6,7,7,7,8,7,7,7,8,7,7,7
,19,6,7,7,6,6,7,7,7,8,6,7,7,8,7,7,7
,20,6,7,7,6,6,7,7,7,8,5,6,7,8,7,7,7
,21,7,7,7,6,6,6,7,6,7,5,6,7,7,7,7,7
,22,7,7,6,6,6,6,7,6,7,6,6,7,7,7,7,7
,23,6,7,6,6,6,6,6,6,6,6,6,6,7,7,6,6
,24,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6
,Daily Max,7,7,7,6,6,7,7,7,8,7,7,7,8,7,7,7
2017-12-26,01,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6
,02,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6
,03,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6
,04,6,6,5,5,5,6,6,6,6,6,6,6,6,5,6,5
,05,5,6,5,5,5,6,5,6,6,5,6,6,6,5,6,5
,06,5,5,5,5,5,6,5,5,6,5,6,5,6,5,5,5
,07,5,5,5,5,5,5,5,5,6,5,6,5,6,5,5,5
,08,5,5,5,5,5,5,5,5,6,5,6,5,6,5,5,5
,09,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5
,10,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5
,11,5,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6
,12,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6
,13,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6
,14,7,7,7,6,7,7,7,7,7,6,8,8,7,7,7,7
,15,7,7,7,6,7,7,7,8,8,7,8,8,8,7,7,7
,16,7,7,7,7,7,7,7,8,8,8,9,8,8,8,7,7
,17,7,7,7,7,7,8,7,9,9,8,9,8,8,8,7,8
,18,7,7,7,7,7,8,8,9,9,8,8,8,8,8,7,8
,19,7,7,7,7,7,8,7,9,10,8,8,8,8,7,7,7
,20,7,7,7,6,7,8,7,9,10,7,7,7,7,7,7,7
,21,7,7,6,6,6,7,6,8,9,6,7,7,7,7,7,7
,22,6,7,6,6,6,6,6,7,8,6,6,7,6,6,6,6
,23,6,6,5,5,6,6,6,6,7,6,6,6,6,6,6,6
,24,6,6,5,5,5,6,6,5,6,6,6,6,6,6,6,6
,Daily Max,7,7,7,7,7,8,8,9,10,8,9,8,8,8,7,8
2017-12-27,01,5,6,5,5,5,6,5,5,5,6,5,6,5,5,5,5
,02,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5
,03,5,5,5,4,5,5,5,4,5,6,5,5,5,5,5,5
,04,5,5,5,4,4,5,5,4,5,6,5,5,5,4,5,5
,05,4,5,4,4,4,5,4,4,5,6*,5,5,4,4,5,4
,06,4,4,4,4,4,4,4,4,5,5*,4,4,4,4,4,4
,07,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
,08,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
,09,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
,10,4,4,4,4,4,4,4,4,4,4*,4,4,*,5,4,4
,11,4,4,4,4,4,4,4,4,4,4*,4,4,*,5,4,4
,12,4,4,4,4,4,4,4,4,5,4*,4,4,*,5*,4*,5
,13,4,4*,4,4,4,4,4,4,5,4*,5,4,*,5*,4*,5
,14,4,4*,4,4,4,4,4,4,5,4,5,4,4*,5*,4,4
,15,4,5*,5,4,4,4,5,5,5,4,5,4,4*,5,4,5
,16,4,5,5,4,4,4,5,5,5,4,5,5,5*,5,4,5
,17,5,5,4*,5,5,5,5,5,5,4,5,5,5*,6,5,5
,18,5,6,4*,5,5,5,5,5,5,4,5,5,6,6,5,6
,19,5,6,5,5,5,5,5,5,5,5,5,5,6,6,5,6
,20,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6
,21,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,22,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,23,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
,24,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
,Daily Max,5,6,5,5,5,6,5,5,5,6,5,6,6,6,5,6
2017-12-28,01,4,5,4,4,4,5,4,5,5,5,5,5,5,5,4,4
,02,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4
,03,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,04,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,05,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,06,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
,07,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
,08,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,09,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,10,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,11,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,12,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,13,4*,5,4,4,4,4,4,4,4,4,4*,4,5,5,4,4
,14,4*,5,4,4,4,4,4,5,5,4,5*,5,5,5,4,4*
,15,4,5,4,4,4,4,5,5,5,4,5*,5,5,5,5,5*
,16,4,5,5,4,5,5*,5,5,5,5,5,5,5,5,5,5*
,17,5,5,5,5,5,5*,5,6,5,5,6,5*,5,5,5,5*
,18,5,5,5,5,6,5*,5,6,5,5,6,6*,5,6,5,5
,19,5,5,5,5,6,6,5,6,5,5,6,5,5,6,5,5
,20,5,5,5,5,6,6,5,6,6,5,6,5,5,6,5,5
,21,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5
,22,5,5,5,5,5,5,5,5,6,5,5,5,4,6,5,5
,23,5,5,5,4,5,5,5,4,6,5,5,5,4,6,5,5
,24,4,5,4,4,5,5,4,4,5,5,5,5,4,6,4,5
,Daily Max,5,5,5,5,6,6,5,6,6,5,6,6,5,6,5,5
2017-12-29,01,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,03,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,04,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4
,05,4,4,4,3,4,3,4,3,4,3,4,4,3,4,4,4
,06,4,4,4,3,3,3,4,3,4,3,4,4,3,4,4,4
,07,3,4,3,3,3,3,4,3,4,3,4,4,3,3,4,3
,08,3,4,4,3,3,3,4,3,4,3,3,4,3,4,4,3
,09,3,4,4,3,4,3,3,3,4,3,3,4,3,4,4,4
,10,3,4,4,4,4,4,3,3,4,3,4,4,3,4,4,4
,11,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,13,4,4,4,4,4,4,4,4,5,4,5,4,5,5,4,5
,14,4,5,4,4,4,4,4,5,5,5,5,4,5,5,4,5
,15,4,5,4,4,4,5,4,5,5,6,5,5,5,5,4,5
,16,4,5,4,4,5,5,5,4,5,6,5,5,5,5,5,5
,17,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
,18,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
,19,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
,20,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
,21,4,5,4,4,4,5,4,4,5,4,5,5,4,5,4,5
,22,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
,23,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
,24,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4
,Daily Max,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5
2017-12-30,01,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4
,02,3,4,3,3,3,4,3,4,4,4,4,4,4,3,3,3
,03,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
,04,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
,05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,08,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,10,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
,11,3,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4
,12,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,13,4,4,4,4,4,4,4,5,5,4,5,4,5,4,4,4
,14,4,4,4,4,4,5,4,6,5,5,5,5,6,5,4,4
,15,4,4,4,4,5,6,4,6,6,6,6,5,6,5,5,5
,16,4,5,4,4,5,7,5,8,8,8,6,6,6,6,5,5
,17,4,5,5,5,6,7,5,8,9,8,6,6,5,7,5,5
,18,5,5,5,5,5,6,5,8,9,8,6,5,5,7,5,5
,19,5,5,4,5,5,5,5,7,9,7,5,5,5,7,5,5
,20,5,5,5,5,5,5,5,6,8,6,5,5,5,6,5,5
,21,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5
,22,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5
,23,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4
,24,4,4,4,3,4,4,3,3,4,4,4,3,3,4,4,4
