ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (November 2015)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,19,3,4,4,4,3*,3,3,3,3,3,3,4,4,4,4
,20,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4
,21,3,4,3,4,3,3,3,3,3,3,3,4,4,4,4
,22,3,4,3,3,3,3,3,3,3,3,3,4,4,3,4
,23,3,4,3,3,3,3,3,3,3,3,3,4,4,3,4
,24,3,4,3,3,3,3,2,3,2,3,3,4,4,3,3
,Daily Max,4,5,4,4,3,4,3,3,3,3,4,4,4,4,4
2015-11-17,01,2,3,3,3,2,3,2,2,2,3,3,3,3,3,3
,02,2,3,3,3,2,2,2,2,2,3,3,3,3,3,3
,03,2,3,3,3,2,2,2,2,2,3,2,3,3,3,2
,04,2,3,3,3,2,2,2,2,2,2,2,3,2,3,2
,05,2,3,3,3,2,2,2,2,2*,2,2,3,2,3,2
,06,2,3,3,3,2,2,2,2,2,2,2,3,2,3,2
,07,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3
,08,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3
,09,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3
,10,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3
,11,3,3,3,3,3,2,2,3,2,3,3,3,3,3,4
,12,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
,13,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
,14,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3
,15,3,3,3,3*,3,3,3,3,2,3,3,4,4,3,3
,16,3,4,3,3*,3,3,3,3,2,3,3,4,4,3,3
,17,3,4,3,3,3,3,3,3,2,3,3,4,4,3,3
,18,3,4,3,3,3,3,3,3,2,2,3,4,3,3,3
,19,3,4,3,3,3,3,3,3,2,2,3,4,3,3,4
,20,3,4,3,3,3,3,3,3,2,2,2,4,3,3,4
,21,2,4,3,3,3,3,3,3,2,2,2,4,3,3,3
,22,3,3,3,3,3,3,3,3,2,2,2,4,3,3,3
,23,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3
,24,3,3,3,3,2,2,2,3,2,2,2,3,3,3,3
,Daily Max,3,4,3,3,3,3,3,3,2,3,3,4,4,3,4
2015-11-18,01,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3
,02,2,3,2,3,2,2,2,3,2,2,2,2,3,2,3
,03,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2
,04,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
,07,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3
,10,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,11,2,3,2,2,3,2,3,2,2,2,2,2,3,3,3
,12,2,3,3,2,3,3,3,2*,2*,2,2*,2,3,3*,3
,13,3,3,3,3,3,3,3,3*,3*,2,3*,3,3,3*,3
,14,3,3,3,3,3,3,3,3*,3*,3,3*,3,3,3*,3
,15,3,3,3,3,3,3,3,3*,3*,3,3*,3,4,3*,4
,16,3,3,3,3,3,3,4,3*,3,3,3,3,4,3*,4
,17,3,3,3,3,4,3,4,3,3,3,3,3,4,4*,4
,18,3,3,3,3*,4,3,3,3,3,3,3,3,4,4*,4
,19,3,3,3,3*,4,3,3,3,3,3,3,3,4,5,4
,20,3,3,3,3*,3,3,3,3,3,3,3,2,4,5,4
,21,3,3,3,3*,3,3,3,3,2,2,3,2,4,5,4
,22,3,3,3,3*,3,3,2,3,2,2,3,2,4,4,4
,23,3,3,3,4,3,3,3,3,3,2,3,1,4,4,4
,24,3,3,3,4,3,3,3,3,3,2,3,1,4,4,4
,Daily Max,3,3,3,4,4,3,4,3,3,3,3,3,4,5,4
2015-11-19,01,4,3,3,4,3,3,3,3,3,2,3,1,4,4,4
,02,4,3,3,4,3,3,2,3,3,2,3,1,4,4,3
,03,3,3,2,3,3,3,2,3,3,2,2,1,3,4,3
,04,3,3,2,3,3,3,2,3,3,2,2,1,2,3,2
,05,2,2,2,2,3,3,2,3,3,2,2,1,2,3,2
,06,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2
,07,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2
,08,2,2,2,3,2,2,3,3,2,2,2,2,3,2,2
,09,2,2,2,3,2,3,3,3,3,2,2,2,3,2,3
,10,2,3,2,3,3,3,3,3,2,2,2,2,3,3,3
,11,2,3,2,3,3,3,3,3,2,2,2,2,3,3,3
,12,2,3,2,3,3,3,3,3,2,3,2,,3,3,3
,13,3,3,3,3,3,3,3,3,2,3,2,*,3,3*,3
,14,3,3,3,3,3,3,3,3,3,3,3*,*,3,3*,3
,15,3,3,3,3,3,3,3,3,3,3,3*,3,3,3*,3
,16,3,3,3,3,3,3,3,3,2,3,3*,3,3,3*,3
,17,3,3,3,3,3,3*,3,2,2,3,3*,3,3,3*,3
,18,3,3,3,3,3,3*,2,2,2,2,3*,3,4,3,3
,19,3,3,3,3,3,3,2,2,2,3,3*,3,4,3,4
,20,3,3,3,3,3,3,2,2,2,3,3,4,4,3,4
,21,3,4,3,3,3,3,2,3,2,3,3,4,4,3,4
,22,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,23,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,24,3,4,3,3,3,3,3,2,3,3,3,3,4,3,3
,Daily Max,4,4,3,4,3,3,3,3,3,3,3,4,4,4,4
2015-11-20,01,3,4,3,3,3,3,3,2,3,3,3,3,4,3,3
,02,3,4,3,3,3,3,3,2,3,3,3,3,4,3,3
,03,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3
,04,4,4,4,3,3,3,2,3,3,3,3,3,4,3,3
,05,4,4,4,4,3,3,2,3,3,3,4,4,4,3,3
,06,4,4,4,4,3,3,2,3,3,3,4,4,4,3,4
,07,4,4,4,4,3,3,2,3,3,3,4,4,4,3,4
,08,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4
,09,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4
,10,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4
,11,3,4,3,4,4,3,3,3,3,3,3,3,4,4,4
,12,4,4,4,4,4,3,3,3,3,3,3,4,4,4*,4
,13,4,4,4,4,4,3,3,3,3,3,3,4,4,4*,4
,14,4,4,4,4,4,4,3,4,4,4,4,4,4,4*,4
,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
,17,4,4,4,4,4,4*,4,4,4,4,4,5,5,4,5
,18,4,5,4,4,4,4*,4,4,4,4,4,5,5,4,5
,19,4,5,5,5,4,4,4,4,4,4,4,5,5,4,5
,20,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5
,21,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5
,22,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5
,23,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5
,24,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5
,Daily Max,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
2015-11-21,01,5,4,4,5,5,5,4,4,5,5,5,5,5,4,4
,02,4,4,4,5,5,5,5,4,5,4,5,5,4,4,4
,03,4,4,4,5,5,5,4,4,5,4,5,4,4,4,4
,04,4,4,5,5,5,5,4,4,5,4,5,4,4,4,4
,05,4,4,4,5,5,5,4,4,4,4,5,5,4,4,4
,06,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,07,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,08,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,09,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,14,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,15,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5
,16,5,5,5,5,5,4,5,4,4,5,4,5,5,4,5
,17,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
,18,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,19,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,20,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5
,21,4,4,4,5,4,5,4,5,4,4,4,4,4,4,5
,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,23,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,24,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,Daily Max,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2015-11-22,01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,03,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,04,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
,05,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3
,06,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
,07,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3
,08,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,10,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3
,11,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4
,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,14,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,15,4,5,5,4,5,4,4,4,6,4,4,5,4,4,5
,16,4,5,5,5,5,5,4,5,6,4,5,6,5,4,5
,17,5,5,5,5,5,5,4,6,6,5,5,6,5,5,5
,18,5,5,5,5,5,5,5,6,5,5,5,6,5,5,6
,19,5,5,5,5,5,5,5,6,4,5,5,6,5,5,5
,20,5,5,5,5,5,5,5,6,4,5,5,5,5,5,5
,21,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5
,22,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5
,23,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5
,24,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,Daily Max,5,5,5,5,5,5,5,6,6,5,5,6,5,5,6
2015-11-23,01,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,03,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4
,04,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,05,4,4,4,4,4,4*,3,3,4,4,4,4,4,4,4
,06,4,4,4,4,4,3,3,3,3,3,4,3,4,3,4
,07,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4
,08,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3
,09,3,4,3,3,3,3,3,3,3,3,3,2,4,3,4
,10,3,4,4,3,3,3,3,3,3,3,3,3,5,4,4
,11,4,4,4,3,3,3,3,3,3,3,3,3,5,4,4
,12,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4
,13,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
,14,4,5,4,4,4,4,5,5,5,5,5*,5,4,5,4
,15,5,5,5,4,5*,5,6,6,6*,5,5*,5,5,5,5
,16,5,5,5,5,5*,5*,6,7,8*,6,6*,5,5,5,5
,17,5,5,5,5,6,5*,7,8,8*,6,6,5,5,6,5
,18,5,5,5,5,6,5*,7,9,8*,5,6,6,5,6,6
,19,5,5,5,5,5,5*,7,8,6,5,5,5,5,6,6
,20,5,5,5,5,5,5*,5,7,5,5,5,5,5,5,5
,21,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5
,22,5,5,5,5,5,4,4,5,4,4,5,5,5,4,5
,23,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4
,24,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
,Daily Max,5,5,5,5,6,5,7,9,8,6,6,6,5,6,6
2015-11-24,01,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4
,02,4,4,4,4,3,4,3,3,3,3,3,3,4,3,4
,03,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4
,04,4,4,4,4,3,3,3,3,3,2,3,3,4,3,4
,05,4,4,4,4,3,3,3,3,3,2,3,*,4,3,4
,06,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3
,07,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
,08,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,11,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4
,12,4,4,4,4,4,4*,4,4,3,4,4,4,4,4,4
,13,4,4,4,4,4,4*,4,4,4*,4,4,4,4,4,4
,14,4,4,4,4,4,4*,4,4,4*,4,4,5,4,4,5
,15,4,4,5,5*,4,5*,4,4,4*,4,4,5,4,4,5
,16,5,5,5,5*,5,5*,4,4,4,5*,4,5,5,4,5
,17,5,5,5,6*,5,5*,5,4,4,5*,5,5,5,5,5
,18,5,5,5,6*,5,5*,5,5,4,5*,5,5,5,5,5
,19,5,5,5,6*,5,5*,5,5,4,5*,5,5,5,5,5
,20,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
,21,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5
,22,5,5,5,5,4,4,4,5,4,4,4,5,5,4,5
,23,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4
,24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,Daily Max,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5
2015-11-25,01,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4
,02,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4
,03,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4
,04,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4
,05,4,4,4,4,3,3,3,3,3,2,2,4,4,4,4
,06,4,4,4,4,3,3,3,3,3,2,2,4,4,3,4
,07,4,4,4,4,3,3,3,3,3,2,2,4,4,4,4
,08,4,4,4,4,3,3,3,3,3,2,3,3,4,4,4
,09,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4
,10,3,4,4,3,4,3,3,3,3,3,3,3,4,5,4
,11,3,3,4,3,4,3,4,3,3,3,3,3,4,5,4
,12,3,4*,4,3,4,4,4,4*,3,3,4,3,4,5,4
,13,4,4*,4,4,4,4,4,4*,4*,4,4,4,5,5,4
,14,4,4*,5,4,5,5,5,5*,5*,4,5,4,5,5,5
,15,5,5,5,5,5,5*,5,5*,5*,5,5,4,5,5,5
,16,5,5,5,5,5,5*,5,5,5*,5,5,4,5,6,5
,17,5,5,5,5,5,5,5,5,5*,4,5,4,5,6,5
,18,5,5,5,4,5,5,4,4,4*,4,4,4,5,6,5
,19,4,5,5,4,4,4,4,4,4,4,4,4,5,5,5
,20,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
,21,3,4,4,3,4,3,3,3,3,3,3,3,5,5,4
,22,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3
,23,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,24,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,Daily Max,5,5,5,5,5,5,5,5,5,5,5,4,5,6,5
2015-11-26,01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,03,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,04,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
,05,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
,06,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,07,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3
,08,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3
,09,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3
,10,3,3,3,3,3,3,3,3,3,2,2,2,4,4,3
,11,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3
,12,3,3,3,3,3*,3,3,3,3*,3,3,3,4,4,3
,13,3,3,4,3,3*,3,3,4,4*,3,3,3,4,4,3
,14,3,4,4,4,4*,4,4,4,4*,4,4,4,5,4,4
,15,4,4,4,4,4,4,4,4,4*,4,4,4,5,5,4
,16,4,4,4,4,4,4,4,4,4*,4,4,4,5,5,4
,17,4,4,5,4,4,4,4,4,4*,4,4,4,5,5,4
,18,4,4,5,4,5,4,4,4,4,4,4,4,5,5,4
,19,4,4,4,4,5,4,4,4,4,4,4,4,6,6,4
,20,4,4,4,4,5,4,4,4,4,4,4,4,6,6,4
,21,4,4,4,4,4,4,4,4,4,3,4,4,6,5,4
,22,4,4,4,4,4,3,4,4,3,3,3,4,6,5,4
,23,3,4,4,4,4,3,4,4,3,3,3,4,5,4,3
,24,3,4,4,4,3,3,3,4,3,3,3,4,5,4,3
,Daily Max,4,4,5,4,5,4,4,4,4,4,4,4,6,6,4
2015-11-27,01,3,4,4,3,3,3,3,4,3,3,3,4,4,4,3
,02,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3
,03,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,05,3,3,3,3,3*,3,3,3,3,2,3,3,3,3,3
,06,3,3,3,3,3*,3,3,3,3,2,3,3,3,3,3
,07,3,3,3,3,3*,3,3,3,3,2,3,3,3,3,3
,08,3,3,3,3,3*,3,3,3,3,2,3,3,3,3,3
,09,3,3,3,3,3*,3,3,3,3,3,3,3,4,3,3
,10,3,3,4,3,3*,3,3,3,3,3,3,3,4,3,3
,11,3,4,4,3,4*,3,3,3,3,3,3,3,4,4,3
,12,4,4,4,4,4*,4,3,4,3,3,3,3,4,4,4
,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,15,4,4,5,4,4,4,4,4,4*,4,4,4,5,4,4
,16,4,5,5,4,5,4,4,4,4*,4,4,5,5,4,4
,17,5,5,5,4,5,4,4,4,4,4,4,5,5,4,5
,18,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5
,19,5,5,5,5,5,5,4,5,4,4,5,5,6,5,5
,20,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5
,21,5,5,5,4,5,5,4,5,4,4,5,5,5,4,5
,22,4,5,5,4,4,5,4,5,4,4,5,5,5,4,5
,23,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5
,24,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5
,Daily Max,5,5,5,5,5,5,4,5,4,4,5,5,6,5,5
2015-11-28,01,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,02,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,03,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,04,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,05,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,06,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,07,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,08,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,09,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,10,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
,11,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4
,12,4,4,4,4,4,4,4,5,4,4,5,5,5,4,4
,13,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5
,14,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5
,15,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5
,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,17,5,5,5,5,5,5,5,5,6,5,6,5,5,5,6
,18,5,5,5,5,5,5,4,5,7,5,5,5,5,5,6
,19,5,5,5,5,5,5,4,5,6,5,5,5,5,5,5
,20,5,5,5,5,5,5,4,5,6,5,5,5,5,5,5
,21,5,5,5,5,5,5,4,5,5,5,4,5,6,5,5
,22,5,5,5,5,5,5,4,5,4,5,4,5,6,5,5
,23,5,5,5,5,5,5,4,5,4,5,4,5,5,4,5
,24,4,5,5,5,4,5,4,5,4,4,4,5,5,4,5
,Daily Max,5,5,5,5,5,5,5,5,7,5,6,5,6,5,6
2015-11-29,01,4,4,4,4,4,4,4,5,4,4,4,5,5,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,03,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
,04,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
,05,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4
,06,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4
,07,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4
,08,4,4,4,3,4,3,4,5,3,3,3,3,4,3,4
,09,4,4,4,3,4,3,3,5,3,3,4,3,4,3,4
,10,4,4,4,4,4,4,4,5,3,4,4,3,4,4,4
,11,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
,12,4,4,4,4,4,4,5,5,5,5,4,4,5,4,4
,13,5,4,5,4,5,5,5,6,6,6,5,5,6,5,5
,14,6,5,5,5,5,6,6,7,7,7,5,6,6,5,6
,15,7,5,6,6,6,7,8,8,8,8,6,8,7,6,7
,16,8,6,6,7,7,8,9,9,8,9,7,8,8,7,8
,17,8,6,6,8,8,8,9,9,8,9,8,8,8,8,8
,18,8,6,6,8,9,9,9,9,8,9,8,7,9,8,8
,19,8,6,6,8,9,9,8,8,7,9,8,6,9,8,8
,20,8,6,6,8,8,8,7,8,6,8,7,5,9,8,9
,21,7,6,6,7,7,7,6,7,5,7,7,4,9,8,8
,22,7,6,6,7,6,7,6,7,5,6,7,4,9,8,8
,23,7,6,6,6,6,7,5,6,5,5,6,4,8,7,7
,24,6,5,6,6,6,6,5,5,4,5,6,4,8,6,6
,Daily Max,8,6,6,8,9,9,9,9,8,9,8,8,9,8,9
2015-11-30,01,6,5,6,5,5,6,4,5,4,5,5,5,7,6,6
,02,6,5,5,5,5,5,4,5,4,4,5,4,6,5,5
,03,5,5,5,5,5,5,4,5,4,4,5,4,5,5,5
,04,5,5,5,5,4,5,4*,5,4,4,4,4,5,5,5
,05,5,5,5,4,4,4,4*,5,4,4,4,4,5,5,4
,06,5,4,4,4,4,4,3,5,4,4,4,4,5,5,4
,07,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4
,08,4,4,4,4,4,4,3,5,4,4,4,4,5,5,4
,09,5,4,5,4,5,4,3,5,4,4,4,3,5,5,5
,10,5,5,5,5,5,4,4,5,4,4,4,3,6,6,5
,11,5,5,5,5,5,5,4,5,5,4,5,4,6,6,5
,12,5,5,5,5*,5,5,4,5,5,4,5,4,6*,6,5
,13,6,5,6,5*,6,5,4,5,6,5,5,*,5*,6,6
,14,6,6,6,5,6,6,5,6,6,5,6,*,6*,6,6
,15,6,6,6,5,7,7,6,7,7,6,6,*,6,6,6
,16,6,6,6,6,7,8,7,8,8,6,6,*,6,6,6
,17,6,6,6,6,7,9,8,9,9,6,6,*,6,6,6
,18,6,6,6,6,6,8,8,9,9,6,6,*,6,5,6
,19,6,6,6,6,6,7,7,9,8,5,5,*,6,5,6
,20,5,5,5,6,5,6,6,8,6,5,5,*,6,5,6
,21,5,5,5,5,5,5,6,7,5,5,5,*,5,5,5
,22,5,5,5,5,5,5,5,6,4,4,5,*,5,5,5
,23,5,5,4,5,5,5,5,5,4,4,5,*,5,4,5
,24,5,5,4,5,4,4,4,5,4,4,4,*,5,4,4
,Daily Max,6,6,6,6,7,9,8,9,9,6,6,5,7,6,6
